symbol,price,change_24h,volume,high,low
BTC/USDT,88167.3,0.656,11962455.6530981,89884.92,84856.07
ETH/USDT,3255.88,-0.735,3062591.921605,3438.68,3210.16
XRP/USDT,0.7175,18.458,1715375.8876,0.7396,0.5978
BCH/USDT,436.3,-2.394,39858.2312,474.5,418.7
LTC/USDT,77.52,-1.524,353113.65349,82.62,72.95
BNB/USDT,625.67,-1.668,1173291.74242,661.5,590.81
ADA/USDT,0.5685,-2.554,875644.6419,0.65,0.5499
BAT/USDT,0.1999,3.736,21146.5427,0.2036,0.1833
ETC/USDT,22.96,-3.57,52557.8104,24.55,21.61
XLM/USDT,0.1353,20.481,444939.0064,0.1413,0.11
ZRX/USDT,0.3911,3.111,22859.8301,0.3997,0.3465
DOGE/USDT,0.3849,13.203,14797240.7494665,0.43716,0.3376
ATOM/USDT,5.359,-2.581,40938.8942,5.816,5.128
NEO/USDT,11.59,-3.817,49036.8372,12.66,11.06
VET/USDT,0.02709,-1.883,237578.6692244,0.0298,0.025
ONT/USDT,0.213,1.044,25682.0535,0.2289,0.1969
VTHO/USDT,0.001906,-6.614,90175.905337,0.002193,0.00188
MKR/USDT,1533.0,1.322,18620.6133,1564.0,1434.0
ONE/USDT,0.015,-4.883,89551.210606,0.01666,0.01428
STORJ/USDT,0.5079,-0.118,20712.0851,0.5203,0.4554
UNI/USDT,8.99,-0.366,194829.93651,10.767,8.651
SOL/USDT,211.45,-3.018,3933645.069828,224.53,204.88
FIL/USDT,4.267,-1.976,35056.18972,4.64,4.1
AAVE/USDT,180.5,-4.482,100541.59997,196.49,172.84
GRT/USDT,0.1905,-1.398,37643.1438,0.2085,0.1824
SHIB/USDT,2.636e-05,-0.939,3072622.39604902,3.031e-05,2.45e-05
AXS/USDT,5.329,-7.659,14708.94636,5.956,5.221
AVAX/USDT,34.32,-1.408,482308.5514,37.63,32.72
DOT/USDT,5.327,-2.685,974556.77606,6.3,5.12
FTM/USDT,0.7668,-6.987,166747.6064,0.8352,0.7208
USDC/USDT,0.9994,0.331,704251.3954,1.0017,0.9902
MATIC/USDT,0.3962,-4.965,310540.26883,0.443,0.3767
MANA/USDT,0.3596,0.559,44882.2972,0.3959,0.3438
ALGO/USDT,0.1548,-0.514,75481.4092,0.1637,0.1447
LINK/USDT,14.07,-3.032,231802.38676,15.36,13.69
EOS/USDT,0.5788,1.224,13287.20902,0.5972,0.5373
ZEC/USDT,42.6,-2.939,12608.00908,45.22,39.83
ENJ/USDT,0.1689,0.776,33813.74196,0.1826,0.1562
NEAR/USDT,5.49,1.912,283520.9725,5.747,4.95
LPT/USDT,11.511,-5.648,23716.02218,12.886,10.727
SLP/USDT,0.002907,-4.059,11185.003264,0.003586,0.002787
GALA/USDT,0.02713,0.818,69890.62534,0.03166,0.02576
ENS/USDT,18.13,-8.342,29355.5988,20.28,16.94
APE/USDT,1.113,-2.88,35785.38809,1.236,1.033
FLUX/USDT,0.6049,-0.966,32221.601983,0.6398,0.5588
IMX/USDT,1.371,-1.438,103063.25723,1.714,1.256
THETA/USDT,1.446,-5.366,197736.3784,1.602,1.374
WAXP/USDT,0.04068,7.081,21267.89443,0.04068,0.03557
FET/USDT,1.383,-11.232,358479.5159,1.644,1.321
ICP/USDT,8.902,-4.31,112920.89583,9.67,8.577
OP/USDT,1.68,-14.504,30888.56689,1.97,1.615
ROSE/USDT,0.08238,-3.219,23155.831894,0.09056,0.07797
CELO/USDT,0.6934,-2.517,30057.99452,0.7385,0.6505
KDA/USDT,0.6233,1.267,39803.242134,0.663,0.58
ACH/USDT,0.02272,-2.153,10680.45209,0.02399,0.02155
RNDR/USDT,4.818,3.769,14565.92294,4.818,4.55
LDO/USDT,1.206,-5.56,14621.84966,1.303,1.126
DGB/USDT,0.00681,-5.285,11525.795298,0.00738,0.00659
ASTR/USDT,0.0625,-1.42,10139.01493,0.0649,0.0566
QNT/USDT,64.1,-6.696,11824.4842,69.2,62.5
AXL/USDT,0.764,-5.211,14564.829,0.851,0.738
APT/USDT,12.41,-2.052,53872.591,13.19,11.57
MASK/USDT,3.259,5.538,12719.3948,3.761,3.001
MXC/USDT,0.0057,-2.73,10476.66318,0.00646,0.00547
JAM/USDT,0.000525,-0.943,22934.48617,0.000552,0.0005
STMX/USDT,0.00565,-7.377,13963.651045,0.0073,0.005289
USDT/USD,0.9937,-0.441,1161651.8083,1.0033,0.964
POLYX/USDT,0.2769,-0.252,29593.22174,0.3,0.2536
IOST/USDT,0.006036,-0.626,10258.726992,0.006389,0.005483
ARB/USDT,0.6345,-3.732,20678.40572,0.6844,0.26
FLOKI/USDT,0.00021011,18.205,2614771.67832341,0.00021827,0.00017158
HBAR/USDT,0.06409,13.594,263806.85598,0.0761,0.05308
ICX/USDT,0.158,4.983,15763.3861,0.1595,0.1435
IOTA/USDT,0.1451,1.968,21221.6117,0.1588,0.1362
RVN/USDT,0.02018,-0.346,45527.072428,0.02151,0.01784
XTZ/USDT,0.734,-0.811,14441.0561,0.769,0.693
ZIL/USDT,0.01799,3.391,21389.176293,0.01855,0.01663
ORBS/USDT,0.02906,5.942,32801.49881,0.02918,0.02613
SUI/USDT,3.1726,0.99,667511.49111,3.3316,2.8286
RENDER/USDT,7.072,3.558,198644.18998,7.764,6.548
